时间,标题,简讯,date
2024-03-11 09:31:09,北向资金今日大幅净买入102.61亿元 宁德时代获净买入16.20亿元,北向资金今日大幅净买入102.61亿元。宁德时代、贵州茅台、比亚迪分别净买入16.20亿元、8.09亿元、7.93亿元。招商银行净卖出额居首，金额为2.72亿元。,2024-03-11
2024-03-11 08:58:33,国家金融监管总局：正在研究降低乘用车贷款首付比,国家金融监督管理总局局长李云泽表示，正在研究降低乘用车贷款首付比。,2024-03-11
2024-03-11 08:57:09,,新加坡铁矿石期货跌超7%，报106.95美元/吨。,2024-03-11
2024-03-11 08:26:20,佛慈制药：主营中成药产品出厂价将平均提价9%,【佛慈制药：主营中成药产品出厂价将平均提价9%】财联社3月11日电，佛慈制药公告，鉴于原材料以及生产成本上涨等原因，公司研究决定自2024年3月11日起对主营中成药产品的出厂价进行调整，平均提价幅度为9%。,2024-03-11
2024-03-11 08:14:41,高新发展业绩快报：2023年归母净利润同比增长85.28%,【高新发展业绩快报：2023年归母净利润同比增长85.28%】财联社3月11日电，高新发展发布2023年度业绩快报，报告期内，公司实现营业收入79.75亿元，同比增长21.37%；实现归属于上市公司股东的净利润3.69亿元，同比增长85.28%。基本每股收益1.05元。小财注：Q3净利1.61亿元，据此计算，Q4净利1.15亿元，环比下降28%。,2024-03-11
2024-03-11 07:39:23,周一投资舆情热点,"【周一投资舆情热点】
1）锂电池：天赐材料对年产3万吨液体六氟磷酸锂产线进行停产检修；摩根士丹利上调宁德时代目标价至210元。
2）光伏储能：机构称，全球光伏需求进入旺季，海外市场出货加快，光伏电池、组件企业的排产有显著提升，光伏组件端开始试探性涨价。
3）低空经济：小鹏汇天“旅航者 X2”完成城市 CBD的低空飞行；“盛世龙”预计将于2026年开启载人飞行。
4）江苏海风：近期，江苏海风项目审批加速，预计部分项目有望于6月底前开工。
5）AI芯片：大模型竞赛带来上游需求提升，随着国产AI大模型飞速发展，国内推理及训练芯片的需求越来越大。",2024-03-11
2024-03-11 07:33:22,,财联社3月11日电，比特币报价突破71000美元，创历史新高，此前在3月8日短暂触及70000美元关口。,2024-03-11
2024-03-11 07:25:21,3月11日涨停分析,【3月11日涨停分析】今日共85股涨停，连板股总数20只，32股封板未遂，封板率为73%（不含ST股、退市股及未开板新股）。个股方面，低空经济概念股立航科技5板，光伏股安彩高科5板、文科股份2板，新型工业化概念股艾艾精工5板，算力板块日海智能13天7板、川润股份6天5板，光模块概念股光迅科技8天5板、铭普光磁2板，消费电子板块道明光学6天4板，高铁板块必得科技3板、神州高铁3板。今日沪深两市收涨个股4293只，收跌个股732只。,2024-03-11
2024-03-11 07:10:24,,财联社3月11日电，比特币再次触及70000美元。,2024-03-11
2024-03-11 07:02:52,十四届全国人大二次会议举行闭幕会 习近平等党和国家领导人出席,【十四届全国人大二次会议举行闭幕会 习近平等党和国家领导人出席】3月11日下午3时，十四届全国人大二次会议在北京人民大会堂举行闭幕会。中共中央总书记、国家主席、中央军委主席习近平等党和国家领导人步入会场，出席闭幕会。,2024-03-11
