时间,标题,简讯,date
2024-04-18 09:31:13,北向资金今日大幅净卖出52.85亿元 中信银行遭净卖出3.76亿元,北向资金今日大幅净卖出52.85亿元。中信银行、中际旭创、农业银行分别获净卖出3.76亿元、2.09亿元、1.88亿元。贵州茅台净买入额居首，金额为4.2亿元。,2024-04-18
2024-04-18 09:01:15,央行原副行长范一飞受贿案一审开庭 被控非法收受财物3.86亿余元,【被控非法收受财物3.86亿余元！央行原副行长范一飞受贿案一审开庭】今天（18日），湖北省黄冈市中级人民法院一审公开开庭审理了中国人民银行原党委委员、副行长范一飞受贿一案。湖北省黄冈市人民检察院起诉指控：1993年至2022年，被告人范一飞利用担任原中国人民建设银行信托投资公司计财部经理、总经理助理、资金计划部副主任，中国建设银行资金计划部副主任、财务会计部总经理、计划财务部总经理、行长助理、党委委员、副行长，中国投资有限责任公司党委委员、副总经理兼上海银行董事长，中国人民银行党委委员、副行长等职务上的便利，以及利用职权或者地位形成的便利条件，通过其他国家工作人员职务上的行为，为有关单位和个人,2024-04-18
2024-04-18 07:39:43,外交部：中方欢迎美国国务卿布林肯近日访华,【外交部：中方欢迎美国国务卿布林肯近日访华】财联社4月18日电，外交部发言人林剑4月18日主持例行记者会。彭博社记者提问，有报道称美国国务卿布林肯将访华，发言人能否确认布林肯访华的时间以及中方对该访问的期待？“中方欢迎布林肯国务卿近日访华。目前我没有更多的信息可以提供。”林剑说。,2024-04-18
2024-04-18 07:18:07,4月18日涨停分析,【4月18日涨停分析】今日共63股涨停，连板股总数22只，25股封板未遂，封板率为71%（不含ST股、退市股及未开板新股）。焦点股方面，同为股份、春光科技双双一字涨停晋级5连板，中信海直15天8板2连板领涨低空经济板块。今日沪深两市收涨个股1995只，收跌个股3004只。,2024-04-18
2024-04-18 07:17:52,国债期货尾盘冲高 30年期及10年期主力合约均创收盘价新高,【国债期货尾盘冲高】财联社4月18日电，国债期货尾盘冲高，T合约新高至104.66。截至收盘，30年期主力合约涨0.75%，10年期主力合约涨0.015%报104.61，5年期主力合约涨0.16%，2年期主力合约涨0.07%。   ,2024-04-18
2024-04-18 07:15:46,央行回应人民币汇率波动：坚决对顺周期行为予以纠偏 坚决防范汇率超调风险,【央行回应人民币汇率波动：坚决对顺周期行为予以纠偏 坚决防范汇率超调风险】财联社4月18日电，央行副行长朱鹤新18日在京参加发布会时表示，今年以来市场对美联储货币政策转向预期出现反复，国际金融市场动荡加剧，一些货币汇率波动有所加大，人民币对美元汇率虽也出现波动，但对一篮子货币汇率在稳定基础上还有所升值。央行对保持人民币汇率基本稳定的目标和决心不会变。短期看，一季度经济实现良好开局，积极因素增多，有利于对冲外部扰动因素，对人民币汇率是有支撑的，人民币汇率保持基本稳定在宏观和微观上都有基础。他指出，下一步，央行将以我为主，兼顾内外均衡，坚持以市场供求为基础，参考一篮子货币进行调节、有管理的浮动,2024-04-18
2024-04-18 07:03:23,收评：沪指冲高回落微涨 低空经济板块10余股涨停,【收评：沪指冲高回落微涨 低空经济板块10余股涨停】财联社4月18日电，市场全天冲高回落，三大指数涨跌不一，沪指盘中一度站上3100点。盘面上，低空经济概念股反复活跃，金盾股份、中信海直、威海广泰、中衡设计等10余股涨停。家电等高外销占比概念股震荡走强，德尔玛、春光科技、朗迪集团涨停。金融股盘中冲高，中信银行、国盛金控均一度涨停。有色概念股午后走强，北方铜业涨停，洛阳钼业创历史新高。航运股尾盘异动，凤凰航运涨停。下跌方面，环保股陷入调整，创业环保等跌超5%。总体上个股跌多涨少，全市场超3100只个股下跌。沪深两市今日成交额9496亿，较上个交易日放量311亿。板块方面，飞行汽车、小家电、金属铜,2024-04-18
2024-04-18 07:01:20,国内商品期货收盘 纯碱涨超9%,【国内商品期货收盘 纯碱涨超9%】财联社4月18日电，国内商品期货收盘，多数上涨。纯碱涨超9%，集运欧线涨超6%，沪锡、铁矿石等涨逾3%，沪铜、国际铜等涨超2%，氧化铝、甲醇等涨超1%，苯乙烯、鸡蛋等小幅上涨；LU燃油、原油跌超3%，纸浆、工业硅等跌逾1%，短纤、沪金等小幅下跌。,2024-04-18
2024-04-18 06:41:04,国家外汇局：一季度我国货物和服务贸易顺差超600亿美元,【国家外汇局：一季度我国货物和服务贸易顺差超600亿美元】财联社4月18日电，国家外汇管理局4月18日发布数据显示，我国经常账户顺差继续保持在合理均衡区间，经初步统计，2024年一季度我国货物和服务贸易合计实现顺差超600亿美元，处于历史同期较高水平。展望未来，我国经常账户有基础有条件保持合理规模顺差，其中，货物贸易顺差将维持较高水平，我国出口有望得到结构性和周期性因素的共同支撑，服务贸易结构更趋优化，生产性服务贸易的作用更加突出。,2024-04-18
2024-04-18 06:32:01,央行谈M2突破300万亿元：不宜做简单同期比较 将加强资金空转监测,【央行谈M2突破300万亿元：不宜做简单同期比较 将加强资金空转监测】财联社4月18日电，人民银行货币政策司司长邹澜4月18日在国新办新闻发布会上表示，目前广义货币（M2）超过300万亿元，是过去多年金融支持实体经济发展的反映。总体看，当前存量货币确实已经不低了，当前我国经济结构调整在加快推进，经济更为轻型化，信贷需求跟以前相比有所转弱，信贷结构优化升级。不过，各方面对（这种）变化有认识和适应过程，一些银行在内部考核上还有“规模情节”，超过了实体经济的有效融资需求；部分企业借助自己优势地位，用低成本贷款融资买理财或转贷给别的企业，主业不赚钱金融反而成为主要业务，这就容易形成空转和资金沉淀，降低,2024-04-18
