时间,标题,简讯,date
2024-04-29 09:30:42,北向资金今日大幅净买入108.92亿元 宁德时代获净买入8.48亿元,北向资金今日大幅净买入108.92亿元。宁德时代、迈瑞医疗、立讯精密分别获净买入8.48亿元、5.37亿元、4.98亿元。贵州茅台净卖出额居首，金额为3.34亿元。,2024-04-29
2024-04-29 09:27:59,招商银行：一季度净利润380.77亿元 同比下降1.96%,【招商银行：一季度净利润380.77亿元 同比下降1.96%】财联社4月29日电，招商银行发布一季报，一季度实现净利润380.77亿元，同比下降1.96%。,2024-04-29
2024-04-29 09:19:38,洛阳钼业：一季度净利润同比增长553.28%,【洛阳钼业：一季度净利润同比增长553.28%】财联社4月29日电，洛阳钼业发布一季报，一季度实现净利润20.7亿元，同比增长553.28%。,2024-04-29
2024-04-29 09:17:33,美的集团更新赴港上市申请书,美的集团股份有限公司向港交所提交上市申请，联席保荐人为美银证券、中金公司。,2024-04-29
2024-04-29 08:54:51,国内油价迎今年第二降 加满一箱油少花2.5元,国家发改委：自2024年4月29日24时起，国内汽、柴油价格每吨均降低70元。,2024-04-29
2024-04-29 08:49:35,浪潮信息：一季度净利润3.06亿元 同比增长64.39%,【浪潮信息：一季度净利润3.06亿元 同比增长64.39%】财联社4月29日电，浪潮信息发布一季报，2024年第一季度实现营业收入176.07亿元，同比增长85.32%；净利润3.06亿元，同比增长64.39%。小财注：2023年Q4净利9.96亿元，据此计算，2024年Q1净利环比下降69%。,2024-04-29
2024-04-29 08:42:49,媒体：首尔有“强烈意愿”申办2036年奥运会 青岛等也在申请行列,【媒体：首尔有“强烈意愿”申办2036年奥运会 青岛等也在申请行列】财联社4月29日电，韩国SBS电视台29日透露称，首尔市长吴世勋今年1月末向国际奥委会主席巴赫表示，首尔有意申办2036年夏季奥运会。报道说，此次奥运会申办竞争空前激烈，“竞争率创历史新高”，目前有不同国家的至少10个城市参与竞争，其中包括中国青岛、德国柏林、印度艾哈迈达巴德等。,2024-04-29
2024-04-29 08:39:18,广州市出台推动大规模设备更新和消费品以旧换新实施方案,【广州市出台推动大规模设备更新和消费品以旧换新实施方案】财联社4月29日电，据广州市发改委消息，4月29日，《广州市推动大规模设备更新和消费品以旧换新实施方案》在广州市政府官网发布。《方案》分为六部分24项内容，明确广州将实施大规模设备更新、消费品以旧换新、废弃物回收循环利用、标准提升四大行动，推动产业升级改造、释放投资消费潜力，加快发展新质生产力。根据《方案》提出的目标，到2027年，广州工业、建筑、交通、农业、教育、文旅、医疗等领域设备投资规模较2023年增长25%以上；重点行业主要用能设备能效达到节能水平，环保绩效达到A级水平的产能比例大幅提升，规模以上工业企业数字化研发设计工具普及率、,2024-04-29
2024-04-29 08:25:46,龙虎榜|万科A今日涨停 中信证券西安朱雀大街买入2.31亿元,万科A今日涨停，龙虎榜数据显示，深股通买入2.27亿元并卖出1.99亿元，一机构净买入5595.45万元。,2024-04-29
2024-04-29 08:22:44,掌阅科技：量子跃动拟减持不超过1%,【掌阅科技：量子跃动拟减持不超过1%】财联社4月29日电，掌阅科技公告，股东量子跃动拟减持不超过1%公司股份。,2024-04-29
2024-04-29 08:13:00,万安科技：一季度归母净利润同比增长1890.93%,【万安科技：一季度归母净利润同比增长1890.93%】财联社4月29日电，万安科技发布一季报，2024年第一季度实现营业收入8.15亿元，同比增长7.03%；净利润2116.66万元，同比增长1890.93%。小财注：2023年Q4净利1.16亿元，据此计算，2024年Q1净利环比下降81%。,2024-04-29
2024-04-29 08:11:38,国务院关税税则委员会公布对美加征关税商品第十四次排除延期清单,国务院关税税则委员发布会关于对美加征关税商品第十四次排除延期清单的公告，自2024年5月1日至2024年11月30日，对附件所列商品，继续不加征我为反制美301措施所加征的关税。,2024-04-29
2024-04-29 07:47:41,马斯克访华后中国会否允许特斯拉完全自动驾驶在国内运行？外交部回应,【马斯克访华后中国会否允许特斯拉完全自动驾驶在国内运行？外交部回应】财联社4月29日电，国务院总理李强4月28日下午在钓鱼台国宾馆会见美国特斯拉公司首席执行官马斯克。李强表示，中美两国经济深度融合，你中有我、我中有你，彼此都可以从对方发展中获益。特斯拉在中国的发展堪称中美经贸合作的成功范例。在4月29日举行的中国外交部例行记者会上，有外媒记者提问称：马斯克访华后，中国会否允许特斯拉的完全自动驾驶（FSD）科技在国内运行？对此，外交部发言人林剑表示，关于你提到的第一个问题，中国国务院总理李强会见了马斯克，中国有关机构也同马斯克进行了相关的会谈。中方已经发布了消息稿，你可以查阅。“作为原则，我愿再,2024-04-29
2024-04-29 07:36:33,,财联社4月29日电，美元兑日元跌破155，日内跌幅达2.4%。,2024-04-29
2024-04-29 07:30:39,两部门印发《数字经济2024年工作要点》：加快建设全国一体化算力网 推动落实“数据二十条”,【国家发改委、国家数据局印发《数字经济2024年工作要点》】财联社4月29日电，近日，国家发展改革委办公厅、国家数据局综合司印发《数字经济2024年工作要点》，对2024年数字经济重点工作作出部署。提出9方面落实举措：一是适度超前布局数字基础设施，深入推进信息通信网络建设，加快建设全国一体化算力网，全面发展数据基础设施。二是加快构建数据基础制度，推动落实“数据二十条”，加大公共数据开发开放力度，释放数据要素价值。三是深入推进产业数字化转型，深化制造业智改数转网联，大力推进重点领域数字化转型，营造数字化转型生态。四是加快推动数字技术创新突破，深化关键核心技术自主创新，提升核心产业竞争力，大力培育,2024-04-29
