时间,标题,简讯,date
2024-06-14 17:34:44,为阻止欧盟汽车关税 德国正抓紧行动 部分官员持乐观态度,【为阻止欧盟汽车关税 德国正抓紧行动 部分官员持乐观态度】财联社6月14日电，据知情人士透露，德国政府正在努力阻止欧盟对中国电动汽车征收新的关税，即使无法完全阻止，也希望尽可能放宽关税条件。欧盟周三威胁对中国产电动汽车征收高额惩罚性关税，此举引发国际争议，包括宝马、大众、梅赛德斯奔驰在内的多家车企明确表示反对，指出其负面影响远超正面收益，且损害国际贸易的公平和自由氛围。德国经济部长哈贝克此前表态称，将尝试并希望能成功阻止欧盟的对华关税。德国官员们认为，在7月4日临时关税生效之前，欧盟或能通过谈判找到解决方案，未来演变仍值得乐观期待。消息人士称，德国官员已经看到了回旋余地，并认为其在欧盟内部也有,2024-06-14
2024-06-14 17:32:48,北向资金今日净卖出47.35亿元 长江电力遭净卖出17.2亿元,北向资金今日净卖出47.35亿元。长江电力、药明康德、交通银行分别获净卖出17.2亿元、16.25亿元、16.14亿元。宁德时代净买入额居首，金额为12.08亿元。,2024-06-14
2024-06-14 17:30:38,大飞机基础研究联合基金设立,【大飞机基础研究联合基金设立】财联社6月14日电，工业和信息化部、国家自然科学基金委员会14日签署合作协议，共同设立大飞机基础研究联合基金。大飞机基础研究联合基金由工业和信息化部、国家自然科学基金委员会共同出资设立，聚焦大飞机领域国家重大战略需求，围绕大飞机长期面临的安全可靠、绿色环保、智能高效、经济便捷等发展需要，支撑开展基础性、前瞻性和创新性研究。工业和信息化部、国家自然科学基金委员会相关司局负责同志参加签约仪式。,2024-06-14
2024-06-14 17:07:52,证监会征求意见：拟适度放宽香港互认基金客地销售比例限制,【证监会：适度放宽香港互认基金客地销售比例限制】中国证监会就《香港互认基金管理规定（修订草案征求意见稿）》公开征求意见，征求意见稿提到，适度放宽互认基金客地销售比例限制。按照稳步有序、逐步放开的原则，将互认基金客地销售比例限制由50%放宽至 80%。适当放松互认基金投资管理职能的转授权限制，允许互认基金投资管理职能转授予集团内海外关联机构，同时，为保护投资者利益，要求获转授机构所在地限于已与我会签署监管合作谅解备忘录并保持有效监管合作关系的国家或地区。,2024-06-14
2024-06-14 17:03:52,央行：前5个月人民币存款增加9万亿元,央行：前五个月人民币存款增加9万亿元。其中，住户存款增加7.13万亿元，非金融企业存款减少2.45万亿元，财政性存款增加5759亿元，非银行业金融机构存款增加2.39万亿元。,2024-06-14
2024-06-14 17:03:09,央行：前5个月人民币贷款增加11.14万亿元,央行：前五个月人民币贷款增加11.14万亿元。分部门看，住户贷款增加8891亿元，其中，短期贷款增加293亿元，中长期贷款增加8598亿元；企（事）业单位贷款增加9.37万亿元，其中，短期贷款增加2.44万亿元，中长期贷款增加7.11万亿元，票据融资减少3047亿元；非银行业金融机构贷款增加5306亿元。,2024-06-14
2024-06-14 17:03:01,央行：5月末广义货币(M2)余额301.85万亿元 同比增长7%,"央行：5月末，广义货币(M2)余额301.85万亿元,同比增长7%。狭义货币(M1)余额64.68万亿元,同比下降4.2%。流通中货币(M0)余额11.71万亿元,同比增长11.7%。前五个月净投放现金3618亿元。",2024-06-14
2024-06-14 17:01:58,央行：前5个月社会融资规模增量累计为14.8万亿元 比上年同期少2.52万亿元,央行：初步统计，2024年前五个月社会融资规模增量累计为14.8万亿元，比上年同期少2.52万亿元。其中，对实体经济发放的人民币贷款增加10.26万亿元，同比少增2.1万亿元；对实体经济发放的外币贷款折合人民币增加727亿元，同比多增778亿元；委托贷款减少915亿元，同比多减1714亿元；信托贷款增加2350亿元，同比多增1968亿元；未贴现的银行承兑汇票减少318亿元，同比多减1863亿元；企业债券净融资1.2万亿元，同比多2519亿元；政府债券净融资2.49万亿元，同比少3497亿元；非金融企业境内股票融资1060亿元，同比少2835亿元。,2024-06-14
2024-06-14 16:07:13,保障房再贷款有关通知正式下发 金融机构应对贷款台账的真实性负责,【保障房再贷款有关通知正式下发 金融机构应对贷款台账的真实性负责】财联社6月14日电，记者从业内获悉，人民银行已向21家全国性银行印发《关于设立保障性住房再贷款有关事宜的通知》，明确保障性住房再贷款采取“先贷后借”模式，按季度发放。金融机构于每季度第一个月 10 日（遇节假日顺延）前以正式文件向中国人民银行申请保障性住房再贷款，并报送上一季度发放的相关贷款台账。中国人民银行对贷款台账进行审核，对于符合要求的贷款，按贷款本金的 60%向金融机构发放再贷款。《通知》还明确，金融机构要提高政治站位，充分认识统筹消化存量房产和优化增量住房、推动抓紧构建房地产发展新模式的重要意义，切实做好金融支持工作。,2024-06-14
2024-06-14 15:41:56,武汉市智能网联新能源汽车“车路云”示范项目建设单位回应：210亿元总投资额只是备案金额,【武汉市智能网联新能源汽车“车路云”示范项目建设单位回应：210亿元总投资额只是备案金额】今日，一则总投资约210亿元的武汉市智能网联新能源汽车“车路云”一体化重大示范项目的备案信息引发市场关注。对此，财联社记者致电项目建设单位武汉车网智联测试运营管理有限公司，接电话的工作人员表示：“210亿只是备案金额。”查询湖北省投资项目在线审批监管平台，该项目申报于6月14日，总投资额显示为2109698（未标注单位），备案证状态为“尚未审核”，项目建设内容包含智能网联研发生产集群建设、车规级芯片产业园及配套基础设施建设、长江左岸产城融合发展带人工智能产业园及配套基础等。此外，工商信息显示，该项目建设单,2024-06-14
2024-06-14 15:16:29,,财联社6月14日电，据上海钢联发布数据显示，今日电池级碳酸锂价格下跌1000元，均价报9.85万元/吨。,2024-06-14
2024-06-14 15:14:10,6月14日涨停分析,【6月14日涨停分析】今日共25股涨停，连板股总数10只，18股封板未遂，封板率为58%（不含ST股、退市股及未开板新股）。焦点股方面，全市场仅二只个股突破2连板，其中华闻集团8天7板5连板，东晶电子3连板。今日沪深两市收涨个股2509只，收跌个股2342只。,2024-06-14
2024-06-14 15:07:07,央行：科技创新再贷款加速落地 精准支持科技型企业,【央行：科技创新再贷款加速落地 精准支持科技型企业】财联社6月14日电，据央行网站，2024年4月，中国人民银行联合科技部等部门设立5000亿元科技创新和技术改造再贷款，其中1000亿元额度专门用于支持初创期、成长期科技型中小企业首次贷款，激励金融机构更大力度投早、投小、投硬科技。近期，中国人民银行与科技部依托“创新积分制”评价，遴选了首批近7000家符合条件的企业，向21家全国性银行推送。各银行快速响应，迅速行动，首笔科技创新贷款近日已发放，后续其他贷款将陆续投放。中国人民银行与科技部正在组织开展第二批32万余家科技型企业创新积分评价，遴选企业名单推送给银行。下一步，中国人民银行将继续加强与,2024-06-14
2024-06-14 15:02:13,收评：沪指探底回升涨0.12% 大金融股午后集体走强,【收评：沪指探底回升涨0.12% 大金融股午后集体走强】财联社6月14日电，市场全天震荡反弹，三大指数均小幅上涨。盘面上，CPO概念股集体走强，新易盛、中际旭创均再创历史新高，剑桥科技涨停。PCB概念股反复活跃，沪电股份、胜宏科技创历史新高，威尔高、晨丰科技涨停。大金融股午后拉升，香溢融通涨停，海通证券一度涨停。地产股盘中异动，冠城大通涨停，中交地产一度涨停。电网概念股表现活跃，中辰股份、奥特迅、长城电工、北京科锐等涨停。下跌方面，CRO概念股展开调整，泰格医药跌超5%。总体上个股涨多跌少，全市场超2600只个股上涨。沪深两市今日成交额8481亿，较上个交易日放量956亿。板块方面，CPO、证,2024-06-14
2024-06-14 14:26:18,中汽协：2024年5月新能源汽车销量为95.5万辆 同比增长33.3%,【中汽协：2024年5月新能源汽车销量为95.5万辆 同比增长33.3%】财联社6月14日电，中汽协数据显示，2024年5月新能源汽车销量为95.5万辆，同比增长33.3%，市场占有率达到39.5%。（财联社记者 徐昊）,2024-06-14
2024-06-14 13:39:00,大金融集体走高 三大指数午后全线翻红,【三大指数午后全线翻红】财联社6月14日电，指数探底回升，沪指拉升翻红；创业板指拉升涨近0.3%，此前一度跌超1%。证券、算力、电网、房地产等方向涨幅居前，沪深京三市上涨个股近2200只。,2024-06-14
2024-06-14 13:32:03,大金融板块午后集体拉升 海通证券大涨8%,【大金融板块午后集体拉升 海通证券大涨7%】财联社6月14日电，大金融板块午后集体拉升，香溢融通涨停，海通证券大涨7%，国泰君安、首创证券、江苏银行、招商银行、宁波银行等纷纷跟涨。消息面上，瑞银证券非银金融行业分析师曹海峰表示，中国资本市场增长潜力巨大，中国证券行业2023-2030收入复合年均增长率将达到10%。,2024-06-14
2024-06-14 13:29:35,商务部新闻发言人就土耳其对我燃油及混合动力乘用车征收额外关税答记者问,"【商务部新闻发言人就土耳其对我燃油及混合动力乘用车征收额外关税答记者问】商务部新闻发言人就土耳其对我燃油及混合动力乘用车征收额外关税答记者问。

问：6月8日，土耳其宣布对原产地为中华人民共和国的燃油及混合动力乘用车征收40％额外进口关税，并自发布日起30日后实施。请问中方对此有何评论？

答：中方注意到，6月8日，土耳其宣布对原产地为中国的燃油及混合动力乘用车征收40％额外进口关税，并自发布日起30日后实施。土方曾以同样方式，对中国产电动汽车加征40％附加关税，中方已多次向土方提出严正交涉。土方仅对原产于中国的乘用车征收额外进口关税，使中国产品的待遇低于其他成员的同类产品，构成对中国产品的歧",2024-06-14
2024-06-14 11:42:01,50年期超长期特别国债今天首发：发行总额350亿元 票面利率2.53%,【50年期超长期特别国债今天首发 票面利率2.53%】财联社6月14日电，财政部在今天首次发行50年期超长期特别国债，发行总额350亿元，票面利率由承销团进行竞争性招标后确定为2.53%。,2024-06-14
2024-06-14 11:39:40,6月14日午间涨停分析,【6月14日午间涨停分析】财联社6月14日电，今日午盘两市共21涨停，连板股总数9只，16股封板未遂，封板率为57%（不含ST股、退市股及未开板新股）。焦点股方面，华闻集团晋级5连板，晶振概念股东晶电子3连板，智能电网板块长城电工、北京科锐2连板。,2024-06-14
